GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sellics-Sheldon,com.sellics.s3.config,StorageConfig,0,25,0,0,0,6,0,2,0,2
Sellics-Sheldon,com.sellics.s3,SwaggerConfig,0,14,0,0,0,6,0,2,0,2
Sellics-Sheldon,com.sellics.s3,FileStorageServiceApplication,5,3,0,0,2,1,1,1,1,1
Sellics-Sheldon,com.sellics.s3.service,StorageService,22,7,0,0,7,2,1,2,1,2
Sellics-Sheldon,com.sellics.s3.service,IndexService,177,7,12,0,47,2,12,2,6,2
Sellics-Sheldon,com.sellics.s3.entity,SellicsEntity,269,3,46,0,2,1,38,1,15,1
Sellics-Sheldon,com.sellics.s3.model,AggregatedRankByAsinResponse,163,0,24,0,3,0,24,0,12,0
Sellics-Sheldon,com.sellics.s3.model,AggregatedRankByKeywordResponse,163,0,24,0,3,0,24,0,12,0
Sellics-Sheldon,com.sellics.s3.model,IndividualRankResponse,272,0,46,0,3,0,39,0,16,0
Sellics-Sheldon,com.sellics.s3.controller,StorageController,44,3,0,0,7,1,1,1,1,1
Sellics-Sheldon,com.sellics.s3.controller,SmartRankingIndexController,25,7,0,0,6,2,3,2,3,2
